X,Y,Contour Index,Contour Area
0.9783333333333334,0.9783333333333334,0,625.0
0.9783333333333334,0.9991666666666666,0,625.0
0.9991666666666666,0.9991666666666666,0,625.0
0.9991666666666666,0.9783333333333334,0,625.0
0.9283333333333333,0.9783333333333334,1,549.5
0.9275,0.9791666666666666,1,549.5
0.9275,0.9991666666666666,1,549.5
0.9458333333333333,0.9991666666666666,1,549.5
0.9458333333333333,0.9783333333333334,1,549.5
0.8783333333333333,0.9783333333333334,2,537.5
0.8775,0.9991666666666666,2,537.5
0.8958333333333334,0.9991666666666666,2,537.5
0.8958333333333334,0.9783333333333334,2,537.5
0.7275,0.9783333333333334,3,537.5
0.7283333333333334,0.9925,3,537.5
0.7275,0.9991666666666666,3,537.5
0.7458333333333333,0.9991666666666666,3,537.5
0.7458333333333333,0.9783333333333334,3,537.5
0.17833333333333334,0.9783333333333334,4,535.5
0.1775,0.9991666666666666,4,535.5
0.19583333333333333,0.9991666666666666,4,535.5
0.19583333333333333,0.98,4,535.5
0.19416666666666665,0.9783333333333334,4,535.5
0.12833333333333333,0.9783333333333334,5,549.0
0.1275,0.9791666666666666,5,549.0
0.1275,0.9991666666666666,5,549.0
0.14583333333333334,0.9991666666666666,5,549.0
0.14583333333333334,0.9791666666666666,5,549.0
0.145,0.9783333333333334,5,549.0
0.8283333333333334,0.9783333333333334,6,565.5
0.8275,0.9816666666666667,6,565.5
0.8283333333333334,0.9991666666666666,6,565.5
0.8466666666666667,0.9991666666666666,6,565.5
0.8466666666666667,0.9791666666666666,6,565.5
0.8458333333333333,0.9783333333333334,6,565.5
0.8416666666666667,0.9791666666666666,6,565.5
0.8383333333333334,0.9775,6,565.5
0.7933333333333333,0.9775,7,571.5
0.7783333333333333,0.9783333333333334,7,571.5
0.7775,0.9833333333333333,7,571.5
0.7783333333333333,0.9991666666666666,7,571.5
0.7966666666666666,0.9991666666666666,7,571.5
0.7966666666666666,0.9791666666666666,7,571.5
0.6783333333333333,0.9783333333333334,8,557.5
0.6775,0.9991666666666666,8,557.5
0.6958333333333333,0.9991666666666666,8,557.5
0.6966666666666667,0.9841666666666666,8,557.5
0.695,0.9775,8,557.5
0.6283333333333333,0.9775,9,561.0
0.6275,0.9991666666666666,9,561.0
0.6458333333333334,0.9991666666666666,9,561.0
0.6466666666666666,0.9966666666666667,9,561.0
0.6458333333333334,0.9783333333333334,9,561.0
0.5783333333333334,0.9783333333333334,10,559.0
0.5775,0.9991666666666666,10,559.0
